Absolute Time,eta_hat_psi,eta_hat_x,eta_hat_y,eta_mpsi,eta_mx,eta_my, eta_tilde_psi, eta_tilde_x, eta_tilde_y,nu_psi_hat, nu_x_hat, nu_y_hat
3572761130.794588,-0.086216,1.314780,0.074684,-0.008862,1.270728,-0.002529,0.077354,-0.044051,-0.077212,-0.202286,0.179974,0.501882
3572761130.804588,-0.084408,1.312339,0.072095,0.079121,1.271615,0.012330,0.163529,-0.040725,-0.059765,-0.200647,0.179323,0.501444
3572761130.814584,-0.078367,1.309787,0.071297,0.041021,1.372387,0.073647,0.119388,0.062600,0.002349,-0.195982,0.179109,0.501097
3572761130.824590,-0.074441,1.317259,0.076357,0.169558,1.384229,-0.030925,0.243999,0.066970,-0.107283,-0.193039,0.180565,0.501453
3572761130.834589,-0.064386,1.324530,0.071137,0.025879,1.384665,-0.072314,0.090265,0.060134,-0.143451,-0.185410,0.182453,0.500202
3572761130.844590,-0.061782,1.331872,0.062283,0.070584,1.375959,-0.162481,0.132366,0.044087,-0.224765,-0.183240,0.183809,0.498910
3572761130.854590,-0.057094,1.337484,0.045742,0.043382,1.307473,-0.093244,0.100477,-0.030010,-0.138986,-0.179395,0.184938,0.496610
3572761130.864591,-0.053932,1.336181,0.037308,-0.164282,1.218120,-0.027107,-0.110350,-0.118061,-0.064415,-0.176907,0.184866,0.495418
3572761130.874590,-0.061065,1.327441,0.035542,-0.155299,1.246013,0.132503,-0.094235,-0.081428,0.096961,-0.182025,0.182524,0.495154
3572761130.884591,-0.067460,1.322128,0.049165,-0.194374,1.244497,0.064593,-0.126914,-0.077630,0.015427,-0.186901,0.180367,0.496802
3572761130.894590,-0.075502,1.317328,0.054946,0.073744,1.475837,0.039101,0.149246,0.158509,-0.015845,-0.192692,0.178238,0.497517
3572761130.904592,-0.070082,1.333771,0.058286,0.064990,1.314254,0.174821,0.135072,-0.019517,0.116535,-0.188587,0.181499,0.497546
3572761130.914587,-0.065318,1.333331,0.074221,0.043609,1.158328,0.088993,0.108927,-0.175003,0.014771,-0.185360,0.181871,0.499242
3572761130.924592,-0.061801,1.318187,0.080451,0.053920,1.356643,-0.032143,0.115721,0.038456,-0.112594,-0.182834,0.179389,0.499840
3572761130.934592,-0.057925,1.323300,0.074574,-0.161334,1.195505,0.145647,-0.103408,-0.127795,0.071073,-0.179743,0.180490,0.498829
3572761130.944593,-0.064747,1.313584,0.085755,-0.062039,1.185960,-0.012355,0.002708,-0.127624,-0.098110,-0.184814,0.177584,0.500011
3572761130.954593,-0.066422,1.303410,0.081060,-0.114049,1.308514,-0.029772,-0.047626,0.005105,-0.110832,-0.185698,0.175445,0.499280
3572761130.964592,-0.070569,1.306094,0.075040,0.078997,1.294001,0.065047,0.149567,-0.012093,-0.009992,-0.188337,0.175386,0.498586
3572761130.974594,-0.065091,1.306235,0.078951,-0.152310,1.313949,-0.099624,-0.087219,0.007714,-0.178575,-0.184184,0.175802,0.498768
3572761130.984593,-0.071161,1.309342,0.066388,0.063767,1.354328,-0.086427,0.134928,0.044986,-0.152815,-0.188076,0.175843,0.497365
3572761130.994593,-0.066395,1.314997,0.056669,0.127202,1.377810,0.014004,0.193597,0.062813,-0.042666,-0.184105,0.177005,0.495915
3572761131.004594,-0.058720,1.322056,0.057504,0.005938,1.504074,-0.005551,0.064658,0.182018,-0.063054,-0.178315,0.178890,0.495562
3572761131.014588,-0.057300,1.341069,0.056228,-0.161210,1.295997,0.092542,-0.103910,-0.045072,0.036314,-0.177139,0.182319,0.495262
3572761131.024595,-0.064121,1.339243,0.064063,0.239938,1.378481,0.010179,0.304059,0.039239,-0.053884,-0.182182,0.180932,0.496252
3572761131.034595,-0.051021,1.343537,0.063930,0.155534,1.402049,0.094613,0.206555,0.058512,0.030683,-0.172469,0.182853,0.495507
3572761131.044595,-0.042600,1.350104,0.071782,-0.045639,1.455437,0.156692,-0.003039,0.105333,0.084910,-0.166486,0.185062,0.495889
3572761131.054595,-0.044380,1.362112,0.084503,-0.039512,1.426363,-0.073348,0.004868,0.064251,-0.157850,-0.168174,0.186941,0.497391
3572761131.064596,-0.045787,1.370197,0.074134,-0.113126,1.301678,0.012016,-0.067339,-0.068519,-0.062118,-0.169024,0.188318,0.496058
3572761131.074595,-0.050738,1.365984,0.072710,-0.105454,1.596718,-0.015894,-0.054716,0.230734,-0.088604,-0.172631,0.187067,0.495832
3572761131.084595,-0.055106,1.390227,0.068780,-0.066296,1.324364,0.101331,-0.011190,-0.065863,0.032551,-0.175803,0.190933,0.495678
3572761131.094596,-0.057376,1.386080,0.076469,-0.086425,1.320087,0.063957,-0.029049,-0.065993,-0.012512,-0.177645,0.189771,0.496540
3572761131.104596,-0.060537,1.382001,0.079832,0.019649,1.408470,0.007574,0.080186,0.026469,-0.072259,-0.179987,0.188540,0.496886
3572761131.114591,-0.058373,1.386225,0.077717,-0.008879,1.257482,-0.009218,0.049494,-0.128742,-0.086934,-0.178300,0.189373,0.496446
3572761131.124598,-0.057696,1.375808,0.074149,-0.038453,1.421661,0.081001,0.019242,0.045853,0.006852,-0.177662,0.187467,0.495878
3572761131.134597,-0.058493,1.382140,0.079451,-0.148074,1.362903,-0.074141,-0.089581,-0.019237,-0.153592,-0.178315,0.188360,0.496469
3572761131.144598,-0.064622,1.382777,0.069238,-0.081321,1.335563,0.160649,-0.016699,-0.047214,0.091411,-0.182450,0.187961,0.495319
3572761131.154600,-0.067226,1.380445,0.082497,-0.057370,1.459856,0.270775,0.009856,0.079412,0.188278,-0.184528,0.186894,0.496895
3572761131.164598,-0.068552,1.390055,0.105046,-0.018651,1.452212,-0.036870,0.049901,0.062157,-0.141916,-0.185899,0.188022,0.499621
3572761131.174598,-0.067928,1.397853,0.096256,0.027878,1.473282,0.222068,0.095806,0.075429,0.125813,-0.185081,0.189284,0.498425
3572761131.184600,-0.065052,1.406708,0.113029,0.098648,1.555668,-0.070097,0.163700,0.148960,-0.183126,-0.183263,0.191031,0.500203
3572761131.194599,-0.058831,1.422239,0.100509,-0.024235,1.519457,-0.167419,0.034596,0.097217,-0.267928,-0.178316,0.194032,0.498140
3572761131.204598,-0.058881,1.433461,0.079694,0.018613,1.318482,0.089961,0.077494,-0.114979,0.010268,-0.177851,0.195996,0.495530
3572761131.214594,-0.056829,1.424289,0.085423,-0.033043,1.197756,0.150914,0.023786,-0.226533,0.065491,-0.176500,0.194470,0.496081
3572761131.224600,-0.057394,1.404719,0.096319,-0.087353,1.565146,0.151697,-0.029959,0.160427,0.055379,-0.177130,0.190742,0.497217
3572761131.234600,-0.060596,1.422219,0.106149,-0.085850,1.350628,0.075831,-0.025254,-0.071591,-0.030318,-0.179683,0.193243,0.498538
3572761131.244600,-0.063591,1.417639,0.107834,0.082816,1.491676,-0.117466,0.146407,0.074037,-0.225300,-0.181819,0.191930,0.498630
3572761131.254601,-0.058202,1.426121,0.091263,-0.028087,1.363063,0.103545,0.030114,-0.063059,0.012282,-0.177382,0.193585,0.496227
3572761131.264601,-0.058465,1.422090,0.097103,-0.051377,1.536608,-0.113849,0.007088,0.114518,-0.210952,-0.177660,0.192688,0.496808
3572761131.274601,-0.059855,1.435073,0.081646,-0.120715,1.493866,0.018102,-0.060860,0.058794,-0.063544,-0.178260,0.194877,0.494944
3572761131.284603,-0.064578,1.443080,0.080051,-0.032920,1.577566,-0.108707,0.031659,0.134486,-0.188758,-0.181631,0.195698,0.494914
3572761131.294601,-0.064805,1.457906,0.066726,0.082786,1.517358,-0.039772,0.147591,0.059452,-0.106497,-0.181422,0.198230,0.493307
3572761131.304603,-0.059356,1.465064,0.061422,0.145659,1.484394,-0.012880,0.205014,0.019330,-0.074301,-0.177277,0.199827,0.492371
3572761131.314597,-0.051056,1.468111,0.059261,0.082378,1.490446,0.124103,0.133434,0.022335,0.064843,-0.171190,0.201052,0.491709
3572761131.324603,-0.046203,1.471764,0.070258,0.081574,1.523702,0.117291,0.127776,0.051938,0.047033,-0.168012,0.202330,0.492762
3572761131.334602,-0.041595,1.478252,0.079569,0.164244,1.504321,-0.094776,0.205839,0.026069,-0.174345,-0.165017,0.204101,0.493557
3572761131.344604,-0.033134,1.481888,0.067920,-0.279095,1.488138,0.112079,-0.245961,0.006250,0.044159,-0.158752,0.205314,0.491650
3572761131.354602,-0.046730,1.485647,0.076089,0.110591,1.528449,0.028915,0.157320,0.042802,-0.047174,-0.169078,0.204228,0.492920
3572761131.364605,-0.040685,1.491142,0.076476,0.042678,1.552395,-0.016580,0.083363,0.061253,-0.093056,-0.164814,0.205830,0.492578
3572761131.374604,-0.038219,1.498736,0.072384,0.093607,1.517721,0.038453,0.131826,0.018985,-0.033931,-0.163115,0.207460,0.491853
3572761131.384604,-0.033364,1.502076,0.074000,-0.202180,1.556431,0.083341,-0.168815,0.054355,0.009341,-0.159846,0.208655,0.491730
3572761131.394603,-0.043194,1.510136,0.079078,0.073029,1.475974,0.097992,0.116224,-0.034162,0.018913,-0.167412,0.208950,0.492666
3572761131.404604,-0.039146,1.508527,0.085702,0.092438,1.687203,0.169998,0.131584,0.178676,0.084295,-0.164822,0.209186,0.493234
3572761131.414599,-0.034321,1.527099,0.098588,-0.292439,1.672210,0.097433,-0.258118,0.145112,-0.001155,-0.161826,0.213250,0.494277
3572761131.424605,-0.048542,1.544215,0.102401,0.026899,1.539871,0.080573,0.075441,-0.004344,-0.021828,-0.172658,0.214550,0.495489
3572761131.434606,-0.046541,1.545718,0.105093,-0.144594,1.525686,-0.037337,-0.098053,-0.020032,-0.142430,-0.171473,0.214991,0.495619
3572761131.444605,-0.053019,1.546513,0.095907,-0.140130,1.435058,0.054897,-0.087111,-0.111456,-0.041009,-0.176170,0.214648,0.494590
3572761131.454606,-0.059008,1.538577,0.096381,0.021995,1.622160,-0.037839,0.081003,0.083583,-0.134220,-0.180640,0.212504,0.494593
3572761131.464607,-0.056811,1.548458,0.088353,0.136779,1.370522,0.230326,0.193590,-0.177936,0.141974,-0.178923,0.214319,0.493459
