L2_continuous,PosXRight,R2_continuous,alpha_VSP1,u_BT,u_VSP1,PosYRight,Absolute Time
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.858354
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.868353
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.878354
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.888353
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.898354
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.908354
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.918355
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.928356
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.938355
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.948356
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.958355
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.968356
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.978356
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.988356
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200169.998357
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.008359
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.018357
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.028358
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.038358
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.048357
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.058358
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.068359
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.078360
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.088357
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.098359
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.108359
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.118359
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.128362
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.138360
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.148361
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.158361
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.168361
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.178363
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.188363
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.198361
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.208362
-1.000000,1.000000,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.218363
-1.000000,0.938169,-1.000000,1.570796,0.205941,0.393631,0.000000,3569200170.228364
-1.000000,0.793817,-1.000000,1.570796,0.193208,0.369292,0.000000,3569200170.238363
-1.000000,0.793817,-1.000000,1.570796,0.163480,0.312471,0.000000,3569200170.248365
-1.000000,0.628864,-1.000000,1.570796,0.163480,0.312471,0.000000,3569200170.258363
-1.000000,0.628864,-1.000000,1.570796,0.129509,0.247540,0.010285,3569200170.268364
-1.000000,0.628864,-1.000000,1.535148,0.129509,0.247698,0.010285,3569200170.278365
-1.000000,0.443312,-1.000000,1.535148,0.129509,0.247698,0.010285,3569200170.288364
-1.000000,0.443312,-1.000000,1.520249,0.091296,0.174724,0.020600,3569200170.298365
-1.000000,0.247414,-1.000000,1.469810,0.091296,0.175395,0.020600,3569200170.308366
