u_BT,u_VSP1,Absolute Time
0.000000,0.000000,3568944001.919783
0.000000,0.000000,3568944001.929783
0.000000,0.000000,3568944001.939784
0.000000,0.000000,3568944001.949783
0.000000,0.000000,3568944001.959784
0.000000,0.000000,3568944001.969783
0.000000,0.000000,3568944001.979785
0.000000,0.000000,3568944001.989785
0.000000,0.000000,3568944001.999785
0.000000,0.000000,3568944002.009780
0.000000,0.000000,3568944002.019785
0.000000,0.000000,3568944002.029786
0.000000,0.000000,3568944002.039787
0.000000,0.000000,3568944002.049787
-0.030377,0.000000,3568944002.059786
-0.060723,0.000000,3568944002.069786
-0.080974,0.000000,3568944002.079787
-0.101225,0.000000,3568944002.089787
-0.121446,0.000000,3568944002.099789
-0.141697,0.000000,3568944002.109783
-0.141697,0.000000,3568944002.119787
-0.172044,0.000000,3568944002.129788
-0.202421,0.000000,3568944002.139788
-0.242893,0.000000,3568944002.149789
-0.303616,0.000000,3568944002.159790
-0.394686,0.000000,3568944002.169788
-0.506007,0.000000,3568944002.179792
-0.617328,0.000000,3568944002.189790
-0.617328,0.008828,3568944002.199790
-0.728649,0.008828,3568944002.209786
-0.728649,0.035391,3568944002.219792
-0.819718,0.035391,3568944002.229791
-0.819718,0.053073,3568944002.239792
-0.890567,0.053073,3568944002.249792
-0.890567,0.079636,3568944002.259792
-0.961416,0.079636,3568944002.269793
-0.961416,0.097319,3568944002.279793
-0.981607,0.097319,3568944002.289793
-0.981607,0.106173,3568944002.299793
-0.981607,0.115027,3568944002.309788
-0.981607,0.115027,3568944002.319793
-0.981607,0.123882,3568944002.329794
-0.981607,0.123882,3568944002.339796
-0.981607,0.123882,3568944002.349794
-0.981607,0.132736,3568944002.359795
-0.981607,0.132736,3568944002.369796
-0.981607,0.132736,3568944002.379796
-0.981607,0.132736,3568944002.389797
-0.981607,0.132736,3568944002.399797
-0.981607,0.132736,3568944002.409791
-0.981607,0.132736,3568944002.419796
-0.981607,0.132736,3568944002.429797
-0.981607,0.132736,3568944002.439797
-0.981607,0.132736,3568944002.449799
-0.981607,0.141590,3568944002.459798
-0.981607,0.132736,3568944002.469797
-0.981607,0.132736,3568944002.479797
-0.981607,0.132736,3568944002.489798
-0.981607,0.132736,3568944002.499798
-0.981607,0.132736,3568944002.509795
-0.981607,0.132736,3568944002.519800
-0.981607,0.132736,3568944002.529799
-0.981607,0.132736,3568944002.539800
-0.981607,0.132736,3568944002.549800
-0.981607,0.141590,3568944002.559801
-0.981607,0.132736,3568944002.569801
-0.981607,0.141590,3568944002.579802
-0.981607,0.141590,3568944002.589801
-0.981607,0.132736,3568944002.599802
-0.981607,0.132736,3568944002.609797
-0.981607,0.132736,3568944002.619801
-0.981607,0.132736,3568944002.629804
-0.981607,0.132736,3568944002.639804
-0.981607,0.132736,3568944002.649803
-0.981607,0.132736,3568944002.659803
-0.981607,0.132736,3568944002.669803
-0.981607,0.132736,3568944002.679804
-0.981607,0.132736,3568944002.689804
-0.981607,0.132736,3568944002.699806
-0.981607,0.132736,3568944002.709799
-0.981607,0.132736,3568944002.719805
-0.981607,0.132736,3568944002.729805
-0.981607,0.132736,3568944002.739806
-0.981607,0.132736,3568944002.749806
-0.981607,0.132736,3568944002.759807
-0.981607,0.132736,3568944002.769805
-0.981607,0.132736,3568944002.779806
-0.981607,0.132736,3568944002.789807
-0.981607,0.132736,3568944002.799808
-0.981607,0.132736,3568944002.809803
-0.981607,0.132736,3568944002.819808
-0.981607,0.132736,3568944002.829808
-0.981607,0.132736,3568944002.839808
-0.981607,0.132736,3568944002.849809
-0.981607,0.132736,3568944002.859808
-0.981607,0.132736,3568944002.869809
-0.981607,0.132736,3568944002.879811
-0.981607,0.132736,3568944002.889809
-0.981607,0.132736,3568944002.899810
-0.981607,0.132736,3568944002.909805
-0.981607,0.132736,3568944002.919811
-0.981607,0.132736,3568944002.929811
-0.981607,0.132736,3568944002.939813
-0.981607,0.132736,3568944002.949811
-0.981607,0.141590,3568944002.959811
-0.981607,0.141590,3568944002.969810
-0.981607,0.141590,3568944002.979812
-0.981607,0.132736,3568944002.989812
-0.981607,0.132736,3568944002.999814
-0.981607,0.132736,3568944003.009808
-0.981607,0.132736,3568944003.019813
-0.981607,0.132736,3568944003.029814
-0.981607,0.132736,3568944003.039814
-0.981607,0.132736,3568944003.049815
-0.981607,0.132736,3568944003.059816
-0.981607,0.132736,3568944003.069814
-0.981607,0.132736,3568944003.079815
-0.981607,0.132736,3568944003.089816
-0.981607,0.132736,3568944003.099815
-0.981607,0.132736,3568944003.109813
-0.981607,0.132736,3568944003.119817
-0.981607,0.132736,3568944003.129816
-0.981607,0.132736,3568944003.139817
-0.981607,0.132736,3568944003.149817
-0.981607,0.132736,3568944003.159816
-0.981607,0.132736,3568944003.169818
-0.981607,0.132736,3568944003.179819
-0.981607,0.132736,3568944003.189818
-0.981607,0.132736,3568944003.199819
-0.981607,0.132736,3568944003.209813
-0.981607,0.132736,3568944003.219819
-0.981607,0.132736,3568944003.229819
-0.981607,0.132736,3568944003.239821
-0.981607,0.132736,3568944003.249820
-0.981607,0.132736,3568944003.259820
-0.981607,0.132736,3568944003.269818
-0.981607,0.132736,3568944003.279820
-0.981607,0.132736,3568944003.289821
-0.981607,0.132736,3568944003.299822
-0.981607,0.132736,3568944003.309816
-0.981607,0.132736,3568944003.319821
-0.981607,0.132736,3568944003.329822
-0.981607,0.141590,3568944003.339823
-0.981607,0.132736,3568944003.349823
-0.981607,0.141590,3568944003.359824
-0.981607,0.141590,3568944003.369822
-0.981607,0.141590,3568944003.379823
-0.981607,0.132736,3568944003.389823
-0.981607,0.132736,3568944003.399824
-0.981607,0.132736,3568944003.409820
-0.981607,0.132736,3568944003.419826
-0.981607,0.132736,3568944003.429825
-0.981607,0.132736,3568944003.439826
-0.981607,0.132736,3568944003.449825
-0.981607,0.132736,3568944003.459826
-0.981607,0.132736,3568944003.469826
-0.981607,0.132736,3568944003.479827
-0.981607,0.132736,3568944003.489827
-0.981607,0.132736,3568944003.499827
-0.981607,0.132736,3568944003.509821
-0.981607,0.132736,3568944003.519827
-0.981607,0.132736,3568944003.529828
-0.981607,0.132736,3568944003.539829
-0.981607,0.132736,3568944003.549828
-0.981607,0.132736,3568944003.559829
-0.981607,0.132736,3568944003.569829
-0.981607,0.132736,3568944003.579829
-0.981607,0.132736,3568944003.589830
-0.981607,0.132736,3568944003.599831
-0.981607,0.132736,3568944003.609825
-0.981607,0.132736,3568944003.619829
-0.981607,0.132736,3568944003.629830
-0.981607,0.132736,3568944003.639831
-0.981607,0.132736,3568944003.649831
-0.981607,0.132736,3568944003.659832
-0.981607,0.132736,3568944003.669831
-0.981607,0.132736,3568944003.679832
-0.981607,0.132736,3568944003.689833
-0.981607,0.132736,3568944003.699832
-0.981607,0.132736,3568944003.709827
-0.981607,0.132736,3568944003.719834
-0.981607,0.132736,3568944003.729833
-0.981607,0.132736,3568944003.739834
-0.981607,0.132736,3568944003.749833
-0.981607,0.132736,3568944003.759835
-0.981607,0.132736,3568944003.769835
-0.981607,0.132736,3568944003.779835
-0.981607,0.141590,3568944003.789834
-0.981607,0.132736,3568944003.799835
-0.981607,0.132736,3568944003.809830
-0.981607,0.132736,3568944003.819836
-0.981607,0.132736,3568944003.829835
-0.981607,0.132736,3568944003.839837
-0.981607,0.132736,3568944003.849836
-0.981607,0.141590,3568944003.859837
-0.981607,0.141590,3568944003.869836
-0.981607,0.132736,3568944003.879837
-0.981607,0.141590,3568944003.889839
-0.981607,0.132736,3568944003.899838
-0.981607,0.132736,3568944003.909833
-0.981607,0.132736,3568944003.919838
-0.981607,0.132736,3568944003.929838
-0.981607,0.132736,3568944003.939839
-0.981607,0.132736,3568944003.949840
-0.981607,0.132736,3568944003.959841
-0.981607,0.132736,3568944003.969839
-0.981607,0.132736,3568944003.979841
-0.981607,0.132736,3568944003.989841
-0.981607,0.132736,3568944003.999841
-0.981607,0.132736,3568944004.009837
-0.981607,0.132736,3568944004.019843
-0.981607,0.132736,3568944004.029842
-0.981607,0.132736,3568944004.039842
-0.981607,0.132736,3568944004.049842
-0.981607,0.132736,3568944004.059843
-0.981607,0.132736,3568944004.069842
-0.981607,0.132736,3568944004.079844
-0.981607,0.132736,3568944004.089843
-0.981607,0.132736,3568944004.099843
-0.981607,0.132736,3568944004.109839
-0.981607,0.132736,3568944004.119843
-0.981607,0.141590,3568944004.129845
-0.981607,0.141590,3568944004.139846
-0.981607,0.141590,3568944004.149846
-0.981607,0.132736,3568944004.159845
-0.981607,0.141590,3568944004.169845
-0.981607,0.132736,3568944004.179847
-0.981607,0.132736,3568944004.189847
-0.981607,0.132736,3568944004.199847
-0.981607,0.132736,3568944004.209842
-0.981607,0.141590,3568944004.219846
-0.981607,0.141590,3568944004.229846
-0.981607,0.141590,3568944004.239847
-0.981607,0.132736,3568944004.249848
-0.981607,0.132736,3568944004.259849
-0.981607,0.123882,3568944004.269846
-0.931039,0.123882,3568944004.279849
-0.799497,0.123882,3568944004.289849
-0.799497,0.115027,3568944004.299849
-0.678051,0.115027,3568944004.309844
-0.678051,0.088491,3568944004.319851
-0.556605,0.088491,3568944004.329850
-0.556605,0.061928,3568944004.339851
-0.414937,0.061928,3568944004.349850
-0.414937,0.026537,3568944004.359850
-0.273239,0.026537,3568944004.369852
-0.273239,0.000000,3568944004.379852
-0.050628,0.000000,3568944004.389852
0.000000,0.000000,3568944004.399852
0.000000,0.000000,3568944004.409847
0.000000,0.000000,3568944004.419852
0.000000,0.000000,3568944004.429853
0.000000,0.000000,3568944004.439854
0.000000,0.000000,3568944004.449853
0.000000,0.000000,3568944004.459853
0.000000,0.000000,3568944004.469853
0.000000,0.000000,3568944004.479854
0.000000,0.000000,3568944004.489855
0.000000,0.000000,3568944004.499856
0.000000,0.000000,3568944004.509849
0.000000,0.000000,3568944004.519855
0.000000,0.000000,3568944004.529857
0.000000,0.000000,3568944004.539856
0.000000,0.000000,3568944004.549857
0.000000,0.000000,3568944004.559856
0.000000,0.000000,3568944004.569856
0.000000,0.000000,3568944004.579857
0.000000,0.000000,3568944004.589858
0.000000,0.000000,3568944004.599858
0.000000,0.000000,3568944004.609853
0.000000,0.000000,3568944004.619858
0.000000,0.000000,3568944004.629858
0.000000,0.000000,3568944004.639859
0.000000,0.000000,3568944004.649858
0.000000,0.000000,3568944004.659860
0.000000,0.000000,3568944004.669859
0.000000,0.000000,3568944004.679860
0.000000,0.000000,3568944004.689861
0.000000,0.000000,3568944004.699860
0.000000,0.000000,3568944004.709856
0.000000,0.000000,3568944004.719861
0.000000,0.000000,3568944004.729862
0.000000,0.000000,3568944004.739862
0.000000,0.000000,3568944004.749861
0.000000,0.000000,3568944004.759861
0.000000,0.000000,3568944004.769861
0.000000,0.000000,3568944004.779863
0.000000,0.000000,3568944004.789864
0.000000,0.000000,3568944004.799864
0.000000,0.000000,3568944004.809858
0.000000,0.000000,3568944004.819864
0.000000,0.000000,3568944004.829864
0.000000,0.000000,3568944004.839865
0.000000,0.000000,3568944004.849865
0.000000,0.000000,3568944004.859867
0.000000,0.000000,3568944004.869864
0.000000,0.000000,3568944004.879866
0.000000,0.000000,3568944004.889866
0.000000,0.000000,3568944004.899866
0.000000,0.000000,3568944004.909862
0.000000,0.000000,3568944004.919868
0.000000,0.000000,3568944004.929867
0.000000,0.000000,3568944004.939868
0.000000,0.000000,3568944004.949867
0.000000,0.000000,3568944004.959868
0.000000,0.000000,3568944004.969868
0.000000,0.000000,3568944004.979869
0.000000,0.000000,3568944004.989869
0.000000,0.000000,3568944004.999870
0.000000,0.000000,3568944005.009864
0.000000,0.000000,3568944005.019869
0.000000,0.000000,3568944005.029870
0.000000,0.000000,3568944005.039871
0.000000,0.000000,3568944005.049870
0.000000,0.000000,3568944005.059870
0.000000,0.000000,3568944005.069870
0.000000,0.000000,3568944005.079871
0.000000,0.000000,3568944005.089872
0.000000,0.000000,3568944005.099872
0.000000,0.000000,3568944005.109867
0.000000,0.000000,3568944005.119872
0.000000,0.000000,3568944005.129873
0.000000,0.000000,3568944005.139873
0.000000,0.000000,3568944005.149873
0.000000,0.000000,3568944005.159874
0.000000,0.000000,3568944005.169873
0.000000,0.000000,3568944005.179875
0.000000,0.000000,3568944005.189875
0.000000,0.000000,3568944005.199874
0.000000,0.000000,3568944005.209869
0.000000,0.000000,3568944005.219876
0.000000,0.000000,3568944005.229875
0.000000,0.000000,3568944005.239876
0.000000,0.000000,3568944005.249876
0.000000,0.000000,3568944005.259876
0.000000,0.000000,3568944005.269877
0.000000,0.000000,3568944005.279878
0.000000,0.000000,3568944005.289877
0.000000,0.000000,3568944005.299877
0.000000,0.000000,3568944005.309872
0.000000,0.000000,3568944005.319877
0.000000,0.000000,3568944005.329877
0.000000,0.000000,3568944005.339880
0.000000,0.000000,3568944005.349879
0.000000,0.000000,3568944005.359878
0.000000,0.000000,3568944005.369878
0.000000,0.000000,3568944005.379879
0.000000,0.000000,3568944005.389881
0.000000,0.000000,3568944005.399881
0.000000,0.000000,3568944005.409875
0.000000,0.000000,3568944005.419881
0.000000,0.000000,3568944005.429881
0.000000,0.000000,3568944005.439881
0.000000,0.000000,3568944005.449882
0.000000,0.000000,3568944005.459883
0.000000,0.000000,3568944005.469881
0.000000,0.000000,3568944005.479882
0.000000,0.000000,3568944005.489882
0.000000,0.000000,3568944005.499883
0.000000,0.000000,3568944005.509878
0.000000,0.000000,3568944005.519885
0.000000,0.000000,3568944005.529883
0.000000,0.000000,3568944005.539884
0.000000,0.000000,3568944005.549884
0.000000,0.000000,3568944005.559884
0.000000,0.000000,3568944005.569886
0.000000,0.000000,3568944005.579886
0.000000,0.000000,3568944005.589886
0.000000,0.000000,3568944005.599885
0.000000,0.000000,3568944005.609881
0.000000,0.000000,3568944005.619886
0.000000,0.000000,3568944005.629887
0.000000,0.000000,3568944005.639888
0.000000,0.000000,3568944005.649888
0.000000,0.000000,3568944005.659887
0.000000,0.000000,3568944005.669888
0.000000,0.000000,3568944005.679888
0.000000,0.000000,3568944005.689889
0.000000,0.000000,3568944005.699889
0.000000,0.000000,3568944005.709884
0.000000,0.000000,3568944005.719890
0.000000,0.000000,3568944005.729888
0.000000,0.000000,3568944005.739890
0.000000,0.000000,3568944005.749891
0.000000,0.000000,3568944005.759891
0.000000,0.000000,3568944005.769888
0.000000,0.000000,3568944005.779891
0.000000,0.000000,3568944005.789891
0.000000,0.000000,3568944005.799891
0.000000,0.000000,3568944005.809888
0.000000,0.000000,3568944005.819892
0.000000,0.000000,3568944005.829892
0.000000,0.000000,3568944005.839892
0.000000,0.000000,3568944005.849893
0.000000,0.000000,3568944005.859893
0.000000,0.000000,3568944005.869893
0.000000,0.000000,3568944005.879895
0.000000,0.000000,3568944005.889894
0.000000,0.000000,3568944005.899894
0.000000,0.000000,3568944005.909890
0.000000,0.000000,3568944005.919895
0.000000,0.000000,3568944005.929895
0.000000,0.000000,3568944005.939897
0.000000,0.000000,3568944005.949895
0.000000,0.000000,3568944005.959895
0.000000,0.000000,3568944005.969895
0.000000,0.000000,3568944005.979895
0.000000,0.000000,3568944005.989898
0.000000,0.000000,3568944005.999897
0.000000,0.000000,3568944006.009892
0.000000,0.000000,3568944006.019897
0.000000,0.000000,3568944006.029898
0.000000,0.000000,3568944006.039898
0.000000,0.000000,3568944006.049899
